City,Sales
Akron,433.596
Alexandria,267.46
Allen,244.006
Allentown,11.648
Amarillo,3048.5828
Anaheim,3752.284
Andover,354.9
Apopka,129.888
Apple Valley,1758.085
Arlington,3643.274
Arvada,497.13599999999997
Athens,186.54
Atlanta,1852.34
Auburn,875.21
Aurora,5239.9800000000005
Austin,535.684
Bakersfield,847.968
Baltimore,4015.8320000000003
Bangor,109.48
Beaumont,8.624
Belleville,305.56
Bellevue,20.24
Bellingham,2665.62
Bethlehem,310.39
Bloomington,787.202
Boise,696.42
Bossier City,129.92
Bowling Green,140.81
Boynton Beach,374.15200000000004
Brentwood,23.88
Bristol,240.912
Broken Arrow,1592.85
Broomfield,731.312
Brownsville,455.0348
Bryan,528.43
Buffalo,5949.21
Buffalo Grove,355.455
Bullhead City,14.368
Burbank,111.0
Burlington,7531.806
Caldwell,338.352
Camarillo,1452.7875
Cambridge,26.72
Canton,28.4
Carol Stream,790.538
Carrollton,41.120000000000005
Champaign,151.96
Chandler,924.8349999999999
Charlotte,1794.99
Charlottesville,67.96
Chattanooga,640.832
Chesapeake,4553.98
Chester,1074.556
Cheyenne,1603.136
Chicago,12495.222
Chico,1957.316
Chula Vista,665.88
Cincinnati,79.384
Citrus Heights,129.39
Clarksville,465.088
Cleveland,911.2320000000001
Clifton,254.9
Clinton,1336.461
College Station,233.058
Colorado Springs,3206.8
Columbia,9389.148000000001
Columbus,9730.376
Concord,6161.8060000000005
Conway,301.96
Coral Gables,11.568
Coral Springs,386.032
Corpus Christi,108.28
Costa Mesa,725.548
Covington,46.9
Cranston,3147.3360000000002
Cuyahoga Falls,8.352
Dallas,7306.8682
Danbury,27.46
Danville,25.02
Daytona Beach,191.5155
Dearborn,362.79999999999995
Dearborn Heights,180.98
Decatur,2893.7110000000002
Deltona,186.304
Denver,4088.56
Des Moines,1435.2759999999998
Des Plaines,724.76
Detroit,16364.01
Dover,1491.064
Draper,25.16
Dublin,1121.0539999999999
Dubuque,1408.1
Durham,335.744
East Point,27.42
Eau Claire,1085.87
Edmonds,1447.97
El Cajon,865.616
El Paso,2150.028
Elmhurst,634.116
Encinitas,418.60900000000004
Eugene,755.136
Evanston,258.279
Everett,3610.718
Fairfield,3643.221
Farmington,545.85
Fayetteville,1352.8980000000001
Florence,2249.77
Fort Collins,858.0519999999999
Fort Lauderdale,2077.1925
Fort Worth,1300.2604
Franklin,7021.681
Freeport,435.64799999999997
Fremont,15.92
Fresno,5519.7465
Frisco,30.336
Gaithersburg,173.94
Garland,8.544
Georgetown,42.6
Gilbert,2366.174
Gladstone,126.3
