ProductName,Sales
12-1/2 Diameter Round Wall Clock,551.448
24-Hour Round Wall Clock,487.512
36X48 HARDFLOOR CHAIRMAT,369.24800000000005
3M Hangers With Command Adhesive,108.03999999999999
3M Polarizing Light Filter Sleeves,216.34
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68
"6"" Cubicle Wall Clock, Black",124.586
9-3/4 Diameter Round Wall Clock,455.07
Acrylic Self-Standing Desk Frames,93.984
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.738
Advantus Panel Wall Acrylic Frame,87.52
Advantus Panel Wall Certificate Holder - 8.5x11,270.84
Aluminum Document Frame,244.39999999999998
Anderson Hickey Conga Table Tops & Accessories,51.782
Artistic Insta-Plaque,156.8
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885
BPI Conference Tables,2241.8675
Balt Solid Wood Rectangular Table,828.0965
Balt Solid Wood Round Tables,6518.754
Balt Split Level Computer Training Table,1040.625
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.464
Bestar Classic Bookcase,1897.8102
Bevis 36 x 72 Conference Tables,4332.252
Bevis 44 x 96 Conference Tables,3253.2200000000003
Bevis Boat-Shaped Conference Table,2542.467
"Bevis Oval Conference Table, Walnut",6942.068
Bevis Rectangular Conference Tables,1007.262
"Bevis Round Bullnose 29"" High Table Top",4544.925
Bevis Round Conference Room Tables and Bases,519.941
Bevis Round Conference Table Top & Single Column Base,2297.538
"Bevis Round Conference Table Top, X-Base",2671.421
Bevis Steel Folding Chairs,1775.075
"Bevis Traditional Conference Table Top, Plinth Base",2033.496
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25
Bretford CR4500 Series Slim Rectangular Table,7242.768
Bretford CR8500 Series Meeting Room Furniture,6776.562000000001
Bretford Rectangular Conference Table Tops,12995.2915
Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,5634.9
Bush Advantage Collection Racetrack Conference Table,9544.725
Bush Advantage Collection Round Conference Table,3401.6000000000004
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.232
"Bush Birmingham Collection Bookcase, Dark Cherry",825.174
"Bush Cubix Collection Bookcases, Fully Assembled",729.2339999999999
"Bush Cubix Conference Tables, Fully Assembled",3603.288
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056
Bush Mission Pointe Library,748.8608
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833
Bush Somerset Collection Bookcase,1263.9569999999999
"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882
"Bush Westfield Collection Bookcases, Fully Assembled",1473.2982000000002
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,137.17
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",514.556
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",136.344
"Career Cubicle Clock, 8 1/4"", Black",194.68800000000002
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89
Chromcraft Rectangular Conference Tables,4952.673
Chromcraft Round Conference Tables,8209.059
Coloredge Poster Frame,298.2
"Computer Room Manger, 14""",636.6080000000001
Contemporary Borderless Frame,36.162
Contemporary Wood/Metal Frame,193.92
"Contract Clock, 14"", Brown",334.096
DAX Black Cherry Wood-Tone Poster Frame,455.456
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",168.744
DAX Clear Channel Poster Frame,119.556
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",291.45599999999996
"DAX Copper Panel Document Frame, 5 x 7 Size",171.088
DAX Cubicle Frames - 8x10,125.786
"DAX Cubicle Frames, 8-1/2 x 11",145.69
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",196.248
"DAX Metal Frame, Desktop, Stepped-Edge",161.92
DAX Natural Wood-Tone Poster Frame,513.712
DAX Solid Wood Frames,113.332
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",216.144
DAX Two-Tone Silver Metal Document Frame,234.784
"DAX Value U-Channel Document Frames, Easel Back",175.938
DAX Wood Document Frame,477.804
DAX Wood Document Frame.,159.268
DMI Arturo Collection Mission-style Design Wood Chair,4619.987999999999
DMI Eclipse Executive Suite Bookcases,11046.609
"Dana Fluorescent Magnifying Lamp, White, 36""",581.172
Dana Halogen Swing-Arm Architect Lamp,1114.384
Dana Swing-Arm Lamps,108.936
"DataProducts Ampli Magnifier Task Lamp, Black,",508.72800000000007
Dax Clear Box Frame,96.03
Deflect-O Glasstique Clear Desk Accessories,124.74
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",673.87
"Deflect-o EconoMat Nonstudded, No Bevel Mat",702.44
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.6399999999999
Deflect-o Glass Clear Studded Chair Mats,1579.3719999999998
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.248
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",437.70000000000005
Document Clip Frames,45.036
"Eldon ""L"" Workstation Diamond Chairmat",1002.936
Eldon 100 Class Desk Accessories,36.396
Eldon 200 Class Desk Accessories,133.136
"Eldon 200 Class Desk Accessories, Black",75.36
"Eldon 200 Class Desk Accessories, Burgundy",135.648
"Eldon 200 Class Desk Accessories, Smoke",138.16
"Eldon 300 Class Desk Accessories, Black",29.7
"Eldon 400 Class Desk Accessories, Black Carbon",159.25
Eldon 500 Class Desk Accessories,197.948
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,563.03
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,379.4
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.944
Eldon Cleatmat Chair Mats for Medium Pile Carpets,344.1
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.1280000000002
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.936
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",546.192
Eldon Econocleat Chair Mats for Low Pile Carpets,331.76
Eldon Executive Woodline II Cherry Finish Desk Accessories,98.13600000000001
"Eldon Executive Woodline II Desk Accessories, Mahogany",361.87199999999996
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",108.08
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.752
Eldon Expressions Mahogany Wood Desk Collection,93.6
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",155.708
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",121.296
"Eldon Expressions Wood Desk Accessories, Oak",183.024
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",160.54000000000002
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",149.70000000000002
Eldon Image Series Black Desk Accessories,48.852
"Eldon Image Series Desk Accessories, Burgundy",111.18799999999999
"Eldon Image Series Desk Accessories, Ebony",180.31
"Eldon Imge Series Desk Accessories, Clear",53.46
Eldon Pizzaz Desk Accessories,37.464
Eldon Radial Chair Mat for Low to Medium Pile Carpets,775.6120000000001
"Eldon Regeneration Recycled Desk Accessories, Black",39.688
"Eldon Regeneration Recycled Desk Accessories, Smoke",33.756
"Eldon Stackable Tray, Side-Load, Legal, Smoke",155.38
Eldon Wave Desk Accessories,266.73
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,168.84
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8
Electrix Fluorescent Magnifier Lamps & Weighted Base,463.79600000000005
Electrix Halogen Magnifier Lamp,2759.06
"Electrix Incandescent Magnifying Lamp, Black",117.28
"Executive Impressions 10"" Spectator Wall Clock",258.72
"Executive Impressions 12"" Wall Clock",176.7
"Executive Impressions 13"" Chairman Wall Clock",253.8
"Executive Impressions 13"" Clairmont Wall Clock",315.372
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",56.099999999999994
"Executive Impressions 14""",377.90999999999997
"Executive Impressions 14"" Contract Wall Clock",346.788
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.812
"Executive Impressions 14"" Two-Color Numerals Wall Clock",308.99199999999996
"Executive Impressions 16-1/2"" Circular Wall Clock",58.784
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",66.56
Executive Impressions Supervisor Wall Clock,867.2599999999999
Flat Face Poster Frame,678.24
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",434.56
G.E. Halogen Desk Lamp Bulbs,62.82
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,81.00800000000001
"GE 4 Foot Flourescent Tube, 40 Watt",98.868
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.056
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",45.396
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",163.332
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84
Global Adaptabilities Conference Tables,3540.348
"Global Airflow Leather Mesh Back Chair, Black",3955.676
"Global Armless Task Chair, Royal Blue",1396.442
Global Chrome Stack Chair,815.864
Global Comet Stacking Arm Chair,6084.144
Global Comet Stacking Armless Chair,3528.79
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.056
Global Deluxe High-Back Manager's Chair,8665.194
Global Deluxe High-Back Office Chair in Storm,1087.92
Global Deluxe Office Fabric Chairs,1420.504
"Global Deluxe Stacking Chair, Gray",764.7
Global Deluxe Steno Chair,1770.54
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35
Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,207.184
Global Ergonomic Managers Chair,6008.536
Global Executive Mid-Back Manager's Chair,4626.582
"Global Fabric Manager's Chair, Dark Gray",3150.576
"Global Geo Office Task Chair, Gray",1757.266
"Global High-Back Leather Tilter, Burgundy",5436.158
Global Highback Leather Tilter in Burgundy,2647.809
Global Italian Leather Office Chair,969.252
"Global Leather & Oak Executive Chair, Burgundy",1689.968
Global Leather Executive Chair,5861.532999999999
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204
"Global Leather Task Chair, Black",1448.839
"Global Leather and Oak Executive Chair, Black",6410.874
Global Low Back Tilter Chair,1746.9540000000002
"Global Manager's Adjustable Task Chair, Storm",2959.208
"Global Push Button Manager's Chair, Indigo",2185.951
"Global Stack Chair with Arms, Black",803.464
"Global Stack Chair without Arms, Black",901.506
Global Super Steno Chair,2389.902
"Global Task Chair, Black",463.099
Global Troy Executive Leather Low-Back Tilter,12975.382
"Global Value Mid-Back Manager's Chair, Gray",1978.925
"Global Value Steno Chair, Gray",2204.862
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884
GuestStacker Chair with Chrome Finish Legs,9070.944
HON 5400 Series Task Chairs for Big and Tall,21870.576
Hand-Finished Solid Wood Document Frame,260.14799999999997
Harbour Creations 67200 Series Stacking Chairs,1501.8980000000001
Harbour Creations Steel Folding Chair,2389.125
High-Back Leather Manager's Chair,4770.633
Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,5282.424
Hon 2111 Invitation Series Corner Table,3140.55
Hon 2111 Invitation Series Straight Table,2040.054
"Hon 30"" x 60"" Table with Locking Drawer",1296.028
Hon 4-Shelf Metal Bookcases,1474.308
Hon 4060 Series Tables,1231.56
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.032
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374
Hon 5100 Series Wood Tables,5965.09
Hon 61000 Series Interactive Training Tables,653.121
Hon 94000 Series Round Tables,7404.5
Hon Comfortask Task/Swivel Chairs,1686.904
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.1879999999996
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.696
Hon Every-Day Chair Series Swivel Task Chairs,967.84
Hon Every-Day Series Multi-Task Chairs,6748.482
Hon GuestStacker Chair,6936.102
"Hon Metal Bookcases, Black",1570.0775999999998
"Hon Metal Bookcases, Gray",851.76
"Hon Metal Bookcases, Putty",1320.228
Hon Mobius Operator's Chair,2705.7799999999997
Hon Multipurpose Stacking Arm Chairs,6584.64
Hon Non-Folding Utility Tables,3775.647
Hon Olson Stacker Chairs,5427.99
Hon Olson Stacker Stools,5294.456
Hon Pagoda Stacking Chairs,6483.796
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.8275
Hon Racetrack Conference Tables,3963.901
Hon Rectangular Conference Tables,3481.515
Hon Valutask Swivel Chairs,1242.054
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",681.454
