State,Sales
Alabama,6332.4800000000005
Arizona,13525.291
Arkansas,3187.55
California,156064.6015
Colorado,13243.037
Connecticut,5174.987
Delaware,4759.319
District of Columbia,1346.58
Florida,22987.038
Georgia,8321.48
Idaho,2595.482
Illinois,28274.522
Indiana,11496.710000000001
Iowa,2642.31
Kansas,111.12
Kentucky,12126.84
Louisiana,2963.0299999999997
Maine,109.48
Maryland,9149.253
Massachusetts,10919.064
Michigan,22321.1
Minnesota,7611.35
Mississippi,4317.85
Missouri,2936.45
Montana,63.98
Nebraska,1944.7
Nevada,4635.1720000000005
New Hampshire,1886.474
New Jersey,6307.042
New Mexico,1701.412
New York,93372.729
North Carolina,15155.484
Ohio,24199.145
Oklahoma,8284.1
Oregon,6338.13
Pennsylvania,39354.931
Rhode Island,5918.756
South Carolina,3078.25
South Dakota,324.9
Tennessee,13506.732
Texas,60593.2918
Utah,4822.35
Vermont,5120.099999999999
Virginia,25321.95
Washington,48020.152
West Virginia,673.344
Wisconsin,17256.61
Wyoming,1603.136
